overall,age,height_cm,weight_kg,club_position,pace,shooting,passing,dribbling,defending,physic,defending1,attacking1,skills1,mentality1,movement1,power
93,34,170,72,3,85.0,92.0,91.0,95.0,34.0,65.0,26.333333333333332,85.8,79.0,73.83333333333333,90.2,77.8
92,32,185,81,3,78.0,92.0,79.0,86.0,44.0,82.0,32.0,86.0,68.5,80.66666666666667,81.6,84.8
91,36,187,83,3,87.0,94.0,80.0,88.0,34.0,75.0,26.666666666666668,87.6,70.5,74.33333333333333,85.4,87.2
91,29,175,68,3,91.0,83.0,86.0,94.0,37.0,63.0,32.0,80.6,75.16666666666667,77.0,90.2,71.8
91,30,181,70,0,76.0,86.0,93.0,88.0,64.0,78.0,62.0,81.4,74.0,82.66666666666667,80.0,81.6
91,28,188,87,2,69.0,54.0,58.0,64.0,56.0,66.0,19.0,19.0,18.333333333333332,34.666666666666664,61.4,53.6
91,22,182,73,3,97.0,88.0,80.0,92.0,36.0,77.0,30.666666666666668,82.2,68.16666666666667,73.5,92.4,82.2
90,35,193,93,2,69.0,54.0,58.0,64.0,56.0,66.0,12.666666666666666,24.8,28.333333333333332,43.0,57.4,56.8
90,29,187,85,2,69.0,54.0,58.0,64.0,56.0,66.0,16.0,23.6,24.166666666666668,40.166666666666664,51.2,53.6
90,27,188,89,3,70.0,91.0,83.0,83.0,47.0,83.0,41.333333333333336,86.6,67.5,81.16666666666667,74.4,84.8
90,30,168,70,0,78.0,66.0,75.0,82.0,87.0,83.0,89.66666666666667,65.0,56.5,78.66666666666667,84.8,76.4
89,33,185,81,0,76.0,86.0,81.0,87.0,39.0,77.0,28.333333333333332,85.2,68.0,75.5,78.8,80.6
89,29,199,96,2,69.0,54.0,58.0,64.0,56.0,66.0,18.0,17.2,18.5,31.333333333333332,57.0,49.8
89,28,183,78,3,88.0,87.0,82.0,86.0,43.0,69.0,39.0,80.2,68.0,72.83333333333333,86.0,77.8
89,29,185,84,0,65.0,73.0,76.0,73.0,86.0,90.0,86.66666666666667,69.4,61.666666666666664,80.5,68.6,87.0
89,29,193,92,1,78.0,60.0,71.0,72.0,91.0,84.0,90.0,63.2,60.666666666666664,72.83333333333333,71.0,79.2
89,29,175,69,3,91.0,83.0,80.0,89.0,44.0,77.0,40.666666666666664,81.4,65.66666666666667,73.16666666666667,91.0,81.4
89,29,175,71,3,90.0,87.0,81.0,90.0,45.0,75.0,40.666666666666664,78.8,68.33333333333333,78.0,90.8,79.0
89,27,188,86,2,69.0,54.0,58.0,64.0,56.0,66.0,17.333333333333332,25.4,27.5,46.0,64.6,54.6
89,26,177,75,0,70.0,73.0,86.0,84.0,83.0,79.0,83.0,77.4,67.83333333333333,77.83333333333333,79.6,80.6
89,28,191,91,2,69.0,54.0,58.0,64.0,56.0,66.0,16.666666666666668,24.8,23.166666666666668,34.166666666666664,53.4,47.8
89,22,196,90,2,69.0,54.0,58.0,64.0,56.0,66.0,16.666666666666668,16.0,19.833333333333332,37.0,58.4,51.0
88,35,184,82,1,70.0,70.0,76.0,74.0,88.0,84.0,88.0,74.8,64.0,83.5,75.0,79.6
88,34,182,83,3,72.0,90.0,82.0,84.0,47.0,83.0,41.666666666666664,86.0,69.5,78.83333333333333,78.0,81.8
88,31,183,76,0,53.0,81.0,91.0,81.0,71.0,68.0,68.0,79.6,72.33333333333333,77.83333333333333,66.2,70.8
88,28,191,94,3,84.0,87.0,74.0,78.0,39.0,83.0,33.666666666666664,81.8,62.833333333333336,72.66666666666667,74.2,81.0
88,26,179,69,0,75.0,86.0,89.0,84.0,70.0,77.0,70.0,82.4,72.66666666666667,83.16666666666667,80.0,82.4
88,20,194,94,3,89.0,91.0,65.0,80.0,45.0,88.0,39.0,75.0,59.333333333333336,74.66666666666667,82.2,86.0
87,33,173,70,3,71.0,89.0,75.0,87.0,33.0,69.0,27.666666666666668,81.2,66.33333333333333,71.0,80.8,77.4
87,34,188,82,2,69.0,54.0,58.0,64.0,56.0,66.0,19.0,18.8,19.333333333333332,37.166666666666664,63.4,44.2
87,35,172,66,0,73.0,76.0,89.0,88.0,72.0,66.0,72.0,76.0,71.83333333333333,80.66666666666667,83.4,73.8
87,31,195,90,2,69.0,54.0,58.0,64.0,56.0,66.0,15.0,17.2,16.666666666666668,33.333333333333336,57.2,50.0
87,31,185,76,0,67.0,84.0,83.0,80.0,56.0,71.0,50.0,84.6,63.833333333333336,75.83333333333333,74.2,77.8
87,31,185,85,3,86.0,87.0,67.0,81.0,39.0,77.0,33.0,78.4,56.666666666666664,74.33333333333333,84.2,80.4
87,28,191,84,0,71.0,81.0,86.0,86.0,65.0,83.0,63.0,79.6,73.66666666666667,80.16666666666667,72.6,84.4
87,28,165,60,0,64.0,61.0,87.0,91.0,79.0,67.0,81.33333333333333,70.6,70.83333333333333,83.16666666666667,80.0,63.0
87,27,183,75,1,81.0,53.0,75.0,74.0,89.0,81.0,89.0,65.2,54.333333333333336,74.83333333333333,77.0,72.6
87,26,189,82,0,81.0,82.0,82.0,84.0,81.0,86.0,78.66666666666667,79.6,68.16666666666667,79.66666666666667,79.2,85.2
87,27,177,75,0,84.0,86.0,86.0,90.0,40.0,60.0,37.333333333333336,80.2,74.0,70.16666666666667,86.8,75.8
87,27,178,64,1,84.0,61.0,81.0,81.0,82.0,76.0,82.66666666666667,64.8,66.0,77.16666666666667,81.0,72.6
87,24,180,74,0,81.0,69.0,85.0,88.0,77.0,78.0,76.33333333333333,76.6,69.33333333333333,75.83333333333333,83.4,74.8
87,22,180,69,1,79.0,68.0,88.0,80.0,80.0,72.0,80.66666666666667,73.8,71.5,76.0,77.0,74.8
87,21,180,76,0,81.0,76.0,82.0,91.0,36.0,65.0,34.333333333333336,74.6,67.66666666666667,66.83333333333333,85.8,66.8
87,24,187,82,1,61.0,38.0,65.0,68.0,88.0,88.0,88.0,56.6,51.333333333333336,65.5,64.8,70.0
86,36,193,92,2,69.0,54.0,58.0,64.0,56.0,66.0,16.0,17.2,19.0,32.0,51.4,51.2
86,32,191,96,1,56.0,59.0,77.0,73.0,89.0,77.0,88.66666666666667,70.6,59.333333333333336,75.66666666666667,64.4,68.4
86,32,170,68,1,86.0,69.0,81.0,83.0,77.0,71.0,77.33333333333333,74.6,65.16666666666667,76.0,85.6,71.6
